Exam_ID,Exam_Name,Grade,Subject,Max_Marks
EXAM_MID_TERM_2026,Mid Term 2026,9,English,75
EXAM_MID_TERM_2026,Mid Term 2026,9,Urdu,75
EXAM_MID_TERM_2026,Mid Term 2026,9,Maths,75
EXAM_MID_TERM_2026,Mid Term 2026,9,Physics,75
EXAM_MID_TERM_2026,Mid Term 2026,9,Chemistry,75
EXAM_MID_TERM_2026,Mid Term 2026,9,Biology,75
EXAM_MID_TERM_2026,Mid Term 2026,9,Computer Science,75
EXAM_MID_TERM_2026,Mid Term 2026,9,Islamiat,50
EXAM_ANNUAL_2026,Annual Exam 2026,9,English,100
EXAM_ANNUAL_2026,Annual Exam 2026,9,Urdu,100
EXAM_ANNUAL_2026,Annual Exam 2026,9,Maths,100
EXAM_ANNUAL_2026,Annual Exam 2026,9,Physics,100
EXAM_ANNUAL_2026,Annual Exam 2026,9,Chemistry,100
EXAM_ANNUAL_2026,Annual Exam 2026,9,Biology,100
EXAM_ANNUAL_2026,Annual Exam 2026,9,Computer Science,100
EXAM_ANNUAL_2026,Annual Exam 2026,9,Islamiat,50
